id, state, cur_score, action, reward, next_state, next_score
5,"[[0, 0, 0, 0], [0, 64, 0, 0], [16, 128, 8, 2], [4, 2, 2, 0]]",68684,left,4,"[[0, 0, 0, 0], [64, 2, 0, 0], [16, 128, 8, 2], [4, 4, 0, 0]]",68688
5,"[[0, 0, 0, 0], [64, 2, 0, 0], [16, 128, 8, 2], [4, 4, 0, 0]]",68688,right,8,"[[0, 0, 0, 0], [2, 0, 64, 2], [16, 128, 8, 2], [0, 0, 0, 8]]",68696
5,"[[0, 0, 0, 0], [2, 0, 64, 2], [16, 128, 8, 2], [0, 0, 0, 8]]",68696,up,4,"[[2, 128, 64, 4], [16, 0, 8, 8], [0, 0, 2, 0], [0, 0, 0, 0]]",68700
5,"[[2, 128, 64, 4], [16, 0, 8, 8], [0, 0, 2, 0], [0, 0, 0, 0]]",68700,left,16,"[[2, 128, 64, 4], [16, 16, 0, 0], [2, 0, 0, 0], [0, 4, 0, 0]]",68716
5,"[[2, 128, 64, 4], [16, 16, 0, 0], [2, 0, 0, 0], [0, 4, 0, 0]]",68716,left,32,"[[2, 128, 64, 4], [32, 0, 0, 0], [2, 0, 0, 0], [4, 4, 0, 0]]",68748
5,"[[2, 128, 64, 4], [32, 0, 0, 0], [2, 0, 0, 0], [4, 4, 0, 0]]",68748,left,8,"[[2, 128, 64, 4], [32, 0, 2, 0], [2, 0, 0, 0], [8, 0, 0, 0]]",68756
5,"[[2, 128, 64, 4], [32, 0, 2, 0], [2, 0, 0, 0], [8, 0, 0, 0]]",68756,right,0,"[[2, 128, 64, 4], [4, 0, 32, 2], [0, 0, 0, 2], [0, 0, 0, 8]]",68756
5,"[[2, 128, 64, 4], [4, 0, 32, 2], [0, 0, 0, 2], [0, 0, 0, 8]]",68756,down,4,"[[0, 4, 0, 0], [0, 0, 0, 4], [2, 0, 64, 4], [4, 128, 32, 8]]",68760
5,"[[0, 4, 0, 0], [0, 0, 0, 4], [2, 0, 64, 4], [4, 128, 32, 8]]",68760,up,8,"[[2, 4, 64, 8], [4, 128, 32, 8], [0, 2, 0, 0], [0, 0, 0, 0]]",68768
5,"[[2, 4, 64, 8], [4, 128, 32, 8], [0, 2, 0, 0], [0, 0, 0, 0]]",68768,down,16,"[[0, 2, 0, 0], [0, 4, 0, 0], [2, 128, 64, 0], [4, 2, 32, 16]]",68784
5,"[[0, 2, 0, 0], [0, 4, 0, 0], [2, 128, 64, 0], [4, 2, 32, 16]]",68784,up,0,"[[2, 2, 64, 16], [4, 4, 32, 0], [0, 128, 0, 0], [2, 2, 0, 0]]",68784
